Wall time,Step,Value
1676542205.8617883,2759680,64.0
1676542213.51107,2762240,64.0
1676542228.3440874,2767360,64.0
1676542235.6183436,2769920,64.0
1676542243.1223752,2772480,64.0
1676542265.1572304,2780160,64.0
1676542272.3908315,2782720,64.0
1676542280.070272,2785280,64.0
1676542310.0669625,2795520,64.0
1676542317.4051116,2798080,64.0
1676542325.0214968,2800640,64.0
1676542361.4440784,2813440,64.0
1676542376.0346406,2818560,64.0
1676542390.7327406,2823680,64.0
1676542397.1753232,2826240,64.0
1676542404.4574041,2828800,64.0
1676542426.6404426,2836480,64.0
1676542434.006082,2839040,64.0
1676542441.5637636,2841600,64.0
1676542448.9028087,2844160,64.0
1676542456.2577024,2846720,64.0
1676542463.3904376,2849280,64.0
1676542470.8911762,2851840,64.0
1676542478.1568234,2854400,64.0
1676542492.8090777,2859520,64.0
1676542514.9697847,2867200,64.0
1676542529.6194952,2872320,64.0
1676542536.9146168,2874880,64.0
1676542558.5827284,2882560,64.0
1676542565.7339668,2885120,64.0
1676542579.98066,2890240,64.0
1676542587.067411,2892800,64.0
1676542594.2053978,2895360,64.0
1676542601.3928316,2897920,64.0
1676542608.9581492,2900480,64.0
1676542623.616439,2905600,64.0
1676542630.9965968,2908160,64.0
1676542638.633433,2910720,64.0
1676542645.9358666,2913280,64.0
1676542660.7880325,2918400,64.0
1676542683.0393355,2926080,64.0
1676542705.4098775,2933760,64.0
1676542712.7379804,2936320,64.0
1676542725.3462272,2941440,64.0
1676542732.1162455,2944000,64.0
1676542739.4478323,2946560,64.0
1676542746.47377,2949120,64.0
1676542754.1123612,2951680,64.0
1676542760.371223,2954240,64.0
1676542774.861583,2959360,64.0
1676542804.820472,2969600,64.0
1676542812.57272,2972160,64.0
1676542827.39202,2977280,64.0
1676542841.07956,2982400,64.0
1676542855.8774652,2987520,64.0
1676542863.0458672,2990080,64.0
1676542902.193727,3005440,64.0
1676542909.0495644,3008000,64.0
1676542924.297707,3013120,64.0
1676542931.7377796,3015680,64.0
1676542939.307953,3018240,64.0
1676542969.1261659,3028480,64.0
1676542984.247712,3033600,64.0
1676542999.1416554,3038720,64.0
1676543014.5148249,3043840,64.0
1676543021.9872072,3046400,64.0
1676543029.3067806,3048960,64.0
1676543051.528607,3056640,64.0
1676543059.02695,3059200,64.0
1676543066.5535972,3061760,64.0
1676543081.2109942,3066880,64.0
1676543088.7879689,3069440,64.0
1676543111.2636561,3077120,64.0
1676543118.6952865,3079680,64.0
1676543140.6843257,3087360,64.0
1676543148.031955,3089920,64.0
1676543155.565213,3092480,64.0
1676543170.2184007,3097600,64.0
1676543200.141885,3107840,64.0
1676543207.920425,3110400,64.0
1676543215.257262,3112960,64.0
1676543229.7399988,3118080,64.0
1676543237.37675,3120640,64.0
1676543267.127468,3130880,64.0
1676543274.442028,3133440,64.0
1676543289.0786042,3138560,64.0
1676543310.8320594,3146240,64.0
1676543318.171506,3148800,64.0
1676543351.3677838,3156480,64.0
1676543359.0710082,3159040,64.0
1676543398.5146797,3171840,64.0
1676543412.2188725,3176960,64.0
1676543419.550907,3179520,64.0
1676543427.1362307,3182080,64.0
1676543434.522838,3184640,64.0
1676543441.846948,3187200,64.0
1676543448.150592,3189760,64.0
1676543455.8239112,3192320,64.0
1676543477.9124122,3200000,64.0
1676543485.1406384,3202560,64.0
1676543492.482271,3205120,64.0
1676543499.8149748,3207680,64.0
1676543518.626192,3212800,64.0
1676543536.7629287,3217920,64.0
1676543546.0868242,3220480,64.0
1676543570.176728,3228160,64.0
1676543577.3814294,3230720,64.0
1676543598.755655,3238400,64.0
1676543621.0053031,3246080,64.0
1676543650.8912196,3256320,64.0
1676543687.081675,3269120,64.0
1676543694.7642171,3271680,64.0
1676543702.0708795,3274240,64.0
1676543732.1032982,3284480,64.0
1676543765.406467,3292160,64.0
1676543805.5816896,3304960,64.0
1676543829.5293844,3312640,64.0
1676543853.8024943,3320320,64.0
1676543866.6049974,3325440,64.0
1676543874.1150398,3328000,64.0
1676543889.3171291,3333120,64.0
1676543896.8875372,3335680,64.0
1676543924.87747,3345920,64.0
1676543951.559043,3356160,64.0
1676543981.8996954,3366400,64.0
1676543989.3313327,3368960,64.0
1676544026.1880126,3381760,64.0
1676544040.904371,3386880,64.0
1676544048.5032923,3389440,64.0
1676544063.476116,3394560,64.0
1676544070.913499,3397120,64.0
1676544086.1050737,3402240,64.0
1676544138.776125,3420160,64.0
1676544206.1768024,3443200,64.0
1676544211.4538605,3445760,64.0
1676544226.7966661,3450880,64.0
1676544234.2396421,3453440,64.0
1676544256.9758995,3461120,64.0
1676544264.4645634,3463680,64.0
1676544279.176654,3468800,64.0
1676544309.2777855,3479040,64.0
1676544324.1221216,3484160,64.0
1676544351.4630215,3494400,64.0
1676544358.9003072,3496960,64.0
1676544366.313947,3499520,64.0
1676544374.1202488,3502080,64.0
1676544381.4742272,3504640,64.0
1676544413.8713658,3514880,64.0
1676544428.5180023,3517440,64.0
1676544445.9679785,3522560,64.0
1676544453.3946288,3525120,64.0
1676544482.6595924,3535360,64.0
1676544519.9489465,3548160,64.0
1676544527.1860182,3550720,64.0
1676544565.2225409,3560960,64.0
1676544593.5801475,3568640,64.0
1676544616.0920892,3576320,64.0
1676544623.5713553,3578880,64.0
1676544638.7915401,3584000,64.0
1676544646.2750077,3586560,64.0
1676544667.052834,3594240,64.0
1676544682.0462654,3599360,64.0
1676544738.7049723,3619840,64.0
1676544760.3655276,3627520,64.0
1676544768.0980709,3630080,64.0
1676544782.7355318,3635200,64.0
1676544797.836054,3640320,64.0
1676544804.9059556,3642880,64.0
1676544872.194431,3665920,64.0
1676544879.5680685,3668480,64.0
1676544894.916837,3673600,64.0
1676544909.2516215,3678720,64.0
1676544924.5193112,3683840,64.0
1676544932.0006003,3686400,64.0
1676544939.4662566,3688960,64.0
1676544947.4202476,3691520,64.0
1676544969.7022011,3699200,64.0
1676544984.9307184,3704320,64.0
1676544992.252695,3706880,64.0
1676544999.6361773,3709440,64.0
1676545007.33662,3712000,64.0
1676545014.671334,3714560,64.0
1676545021.9637537,3717120,64.0
1676545029.175417,3719680,64.0
1676545044.6641314,3724800,64.0
1676545052.0380628,3727360,64.0
1676545059.4741201,3729920,64.0
1676545067.1770492,3732480,64.0
1676545074.611513,3735040,64.0
1676545081.9994957,3737600,64.0
1676545087.8386064,3740160,64.0
1676545095.056687,3742720,64.0
1676545102.3946388,3745280,64.0
1676545109.8177774,3747840,64.0
1676545161.990922,3765760,64.0
1676545184.3069942,3773440,64.0
1676545191.669534,3776000,64.0
1676545206.791773,3781120,64.0
1676545214.1598444,3783680,64.0
1676545243.5956514,3793920,64.0
1676545250.9160845,3796480,64.0
1676545258.2328293,3799040,64.0
1676545265.8238642,3801600,64.0
1676545287.8542287,3809280,64.0
1676545295.5058603,3811840,64.0
1676545302.8539245,3814400,64.0
1676545310.152088,3816960,64.0
1676545317.4601836,3819520,64.0
1676545332.2820075,3824640,64.0
1676545339.0591252,3827200,64.0
1676545368.5705693,3837440,64.0
1676545376.1989024,3840000,64.0
1676545383.5797775,3842560,64.0
1676545398.3505023,3847680,64.0
1676545419.1418827,3855360,64.0
1676545449.0325117,3865600,64.0
1676545456.3577619,3868160,64.0
1676545464.2333066,3870720,64.0
1676545478.9995637,3875840,64.0
1676545493.9343464,3880960,64.0
1676545501.2358708,3883520,64.0
1676545553.1946056,3901440,64.0
1676545575.4797168,3909120,64.0
1676545590.3824368,3914240,64.0
1676545605.1634164,3919360,64.0
1676545627.6594725,3927040,64.0
1676545634.1498435,3929600,64.0
1676545655.6714623,3937280,64.0
1676545662.8158226,3939840,64.0
1676545677.6892214,3944960,64.0
1676545685.0899768,3947520,64.0
1676545714.985054,3957760,64.0
1676545729.9203196,3962880,64.0
1676545737.383806,3965440,64.0
1676545758.685955,3973120,64.0
1676545765.6954436,3975680,64.0
1676545772.8492746,3978240,64.0
1676545787.8951645,3983360,64.0
1676545802.5355997,3988480,64.0
1676545839.5207224,4001280,64.0
1676545853.1522837,4006400,64.0
1676545860.5129857,4008960,64.0
1676545868.1152549,4011520,64.0
1676545880.7722783,4016640,64.0
1676545895.7700508,4021760,64.0
1676545903.2003014,4024320,64.0
1676545910.569356,4026880,64.0
1676545918.0194542,4029440,64.0
1676545940.366288,4037120,64.0
1676545955.352419,4042240,64.0
1676545962.7281632,4044800,64.0
1676545970.047365,4047360,64.0
1676545977.3340151,4049920,64.0
1676545985.0051253,4052480,64.0
1676546007.6147566,4060160,64.0
1676546044.6597326,4072960,64.0
1676546081.6451142,4085760,64.0
1676546088.9968355,4088320,64.0
1676546096.6031592,4090880,64.0
1676546126.3380811,4101120,64.0
1676546133.9433236,4103680,64.0
1676546141.396577,4106240,64.0
1676546193.0113206,4124160,64.0
1676546200.714593,4126720,64.0
1676546215.9314783,4131840,64.0
1676546223.6337347,4134400,64.0
1676546239.710965,4139520,64.0
1676546283.0846019,4149760,64.0
1676546298.404948,4154880,64.0
1676546313.4534333,4160000,64.0
1676546327.260639,4165120,64.0
1676546334.61913,4167680,64.0
1676546356.9972827,4175360,64.0
1676546364.4158032,4177920,64.0
1676546394.4646764,4188160,64.0
1676546402.2133195,4190720,64.0
1676546409.8270643,4193280,64.0
1676546417.2318273,4195840,64.0
1676546432.3007512,4200960,64.0
1676546439.8516948,4203520,64.0
1676546474.908095,4216320,64.0
1676546482.391333,4218880,64.0
1676546497.4259634,4224000,64.0
1676546512.344224,4229120,64.0
1676546520.0391707,4231680,64.0
1676546527.383135,4234240,64.0
1676546534.8329942,4236800,64.0
1676546550.0445995,4241920,64.0
1676546564.7325647,4247040,64.0
1676546594.7416437,4257280,64.0
1676546609.9173734,4262400,64.0
1676546624.9894848,4267520,64.0
1676546647.477695,4275200,64.0
1676546654.793745,4277760,64.0
1676546684.51248,4288000,64.0
1676546701.070147,4295680,64.0
1676546715.8755255,4300800,64.0
1676546723.3342373,4303360,64.0
1676546730.6603396,4305920,64.0
1676546738.0005188,4308480,64.0
1676546760.0017385,4316160,64.0
1676546767.2865021,4318720,64.0
1676546774.9952364,4321280,64.0
1676546782.4452665,4323840,64.0
